,ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,fut_code,list_date,delist_date,expiry_rank,generic,rollover
8151,IF2105.CFX,20210413,4912.8,4909.2,4918.0,4952.8,4892.4,4913.6,4902.4,4.4,-6.8,16114.0,2378683.566,25276.0,6740.0,IF,20210322,20210521,2.0,IFc2,
6354,IF2106.CFX,20210413,4866.0,4865.2,4891.2,4905.2,4844.0,4865.4,4855.6,0.2,-9.6,24127.0,3527770.1339999996,79596.0,4415.0,IF,20201019,20210618,3.0,IFc3,
7648,IF2104.CFX,20210414,4950.6,4941.2,4958.4,4995.0,4949.2,4976.8,4979.6,35.6,38.4,81650.0,12188334.845999999,63448.0,-18397.0,IF,20210222,20210416,1.0,IFc1,
8152,IF2105.CFX,20210414,4913.6,4902.4,4920.0,4956.6,4912.8,4939.2,4942.4,36.8,40.0,26526.0,3929856.6780000003,38625.0,13349.0,IF,20210322,20210521,2.0,IFc2,
6355,IF2106.CFX,20210414,4865.4,4855.6,4877.0,4911.8,4866.6,4893.0,4897.6,37.4,42.0,21217.0,3113526.936,79330.0,-266.0,IF,20201019,20210618,3.0,IFc3,
7649,IF2104.CFX,20210415,4976.8,4979.6,4968.2,4970.0,4896.4,4954.0,4942.8,-25.6,-36.8,64765.0,9585389.154,31518.0,-31930.0,IF,20210222,20210416,1.0,IFc1,
8153,IF2105.CFX,20210415,4939.2,4942.4,4928.4,4932.2,4855.8,4918.2,4905.0,-24.2,-37.4,64942.0,9529840.098,72332.0,33707.0,IF,20210322,20210521,2.0,IFc2,
6356,IF2106.CFX,20210415,4893.0,4897.6,4880.0,4885.8,4812.2,4874.8,4862.6,-22.8,-35.0,25582.0,3721509.102,84099.0,4769.0,IF,20201019,20210618,3.0,IFc3,
8154,IF2105.CFX,20210416,4918.2,4905.0,4933.0,4952.0,4883.6,4938.4,4941.6,33.4,36.6,93908.0,13865128.115999999,92131.0,19799.0,IF,20210322,20210521,1.0,IFc1,
6357,IF2106.CFX,20210416,4874.8,4862.6,4890.6,4911.2,4846.0,4900.2,4902.2,37.6,39.6,26009.0,3809630.9039999996,84303.0,204.0,IF,20201019,20210618,2.0,IFc2,
7262,IF2109.CFX,20210416,4783.0,4772.2,4790.0,4815.8,4754.8,4808.4,4807.6,36.2,35.4,6967.0,1000676.7840000001,32108.0,1752.0,IF,20210118,20210917,3.0,IFc3,
8155,IF2105.CFX,20210419,4938.4,4941.6,4932.0,5082.0,4906.8,5072.8,5069.0,131.2,127.4,113451.0,17087967.966,99590.0,7459.0,IF,20210322,20210521,1.0,IFc1,
6358,IF2106.CFX,20210419,4900.2,4902.2,4900.0,5040.2,4868.6,5036.4,5029.6,134.2,127.4,34253.0,5118677.688,88201.0,3898.0,IF,20201019,20210618,2.0,IFc2,
7263,IF2109.CFX,20210419,4808.4,4807.6,4799.0,4942.8,4778.0,4937.8,4931.8,130.2,124.2,9225.0,1352714.586,33181.0,1073.0,IF,20210118,20210917,3.0,IFc3,
